Venue ID,Region,Latitude,Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category,rating,checkinsCount,usersCount,tipCount,visitsCount,likes
57285c48498e3b3f18fc872e,Jakarta Barat,-6.16156235,106.74389124027667,Buns & Meat Jakarta,-6.111929806570718,106.7380199906683,Burger Joint,8.4,,,3.0,,10.0
4ba5b909f964a520641e39e3,Jakarta Barat,-6.16156235,106.74389124027667,Bakmi Aloi,-6.162658654487163,106.79108901264827,Noodle House,8.2,,,66.0,,147.0
56907f91498e1fff5e386286,Jakarta Barat,-6.16156235,106.74389124027667,Saine Daise,-6.114697046669204,106.7554434499202,Bistro,8.2,,,2.0,,27.0
560cdeea498eaea7296601b1,Jakarta Barat,-6.16156235,106.74389124027667,ZENBU House Of Mozaru,-6.176483008656285,106.7909397251567,Japanese Restaurant,8.3,,,13.0,,51.0
5512bdbf498e48f4637b9a3e,Jakarta Barat,-6.16156235,106.74389124027667,Holycow!,-6.104025381043803,106.74047921598327,Steakhouse,8.7,,,8.0,,56.0
574a832a498e1c0c6ffb4ea9,Jakarta Barat,-6.16156235,106.74389124027667,Chili's Grill and Bar,-6.115855965843437,106.75610939717468,American Restaurant,8.2,,,2.0,,22.0
53d76a48498e79c17333c651,Jakarta Utara,-6.1362053,106.90069097114528,Marugame Udon,-6.145324740062516,106.8918383215754,Udon Restaurant,8.7,,,16.0,,84.0
5a61f1fb1f8ed62311b32613,Jakarta Utara,-6.1362053,106.90069097114528,Bakmi Gading Permai,-6.15013744201541,106.90942074986353,Asian Restaurant,8.9,,,3.0,,14.0
5c6d08ded4cc98002ce1a33c,Jakarta Utara,-6.1362053,106.90069097114528,Union Mall Kelapa Gading,-6.156123,106.908601,Restaurant,8.7,,,0.0,,10.0
5086783ce4b07645f1dd072c,Jakarta Utara,-6.1362053,106.90069097114528,Bornga 본가,-6.157279695501674,106.90024370852592,Korean Restaurant,8.6,,,32.0,,129.0
4bcb9ebd0687ef3bc527decc,Jakarta Utara,-6.1362053,106.90069097114528,Bakmi Bangka Asan,-6.147685911947067,106.90883934002427,Noodle House,8.3,,,9.0,,13.0
50cb0fe6e4b04f44d373ff35,Jakarta Utara,-6.1362053,106.90069097114528,Gading Walk,-6.157922843002871,106.90910117391192,Food Court,8.7,,,17.0,,139.0
4cb84f82035d236af9d2cb4e,Jakarta Utara,-6.1362053,106.90069097114528,Rumah Makan Padang Sederhana,-6.159584354257882,106.90586937430771,Indonesian Restaurant,8.7,,,5.0,,36.0
561a5ced498e1bc38b5462c3,Jakarta Utara,-6.1362053,106.90069097114528,Bangi Kopitiam MAG,-6.144517809576417,106.89215971202246,Asian Restaurant,8.1,,,1.0,,11.0
56fb7793498e7ceca5f89f86,Jakarta Utara,-6.1362053,106.90069097114528,EXPATRIATE Restaurant & Coffee,-6.148349715636374,106.90944037746762,American Restaurant,8.2,,,5.0,,29.0
56a99d8d498e411c0dd6a782,Jakarta Utara,-6.1362053,106.90069097114528,Thai Chada (Traditional Thai Cuisine),-6.151512348061165,106.90932677946668,Thai Restaurant,8.3,,,3.0,,30.0
5739c8f738faf9c0f03bb638,Jakarta Utara,-6.1362053,106.90069097114528,Pasar MOI,-6.150488222985009,106.89196973595186,Food Court,8.3,,,33.0,,76.0
52b7c2e0498e4ddd244604fe,Jakarta Utara,-6.1362053,106.90069097114528,Dapur Solo Ny. Swan Sunter II,-6.139829971618243,106.88360568738943,Indonesian Restaurant,8.3,,,4.0,,70.0
559dff7b498e32ae0bbc44ce,Jakarta Utara,-6.1362053,106.90069097114528,Ncek Legenda Noodle Bar,-6.1469006695129815,106.90548845013775,Noodle House,8.1,,,5.0,,26.0
4bd2884f41b9ef3b7f67fee5,Jakarta Utara,-6.1362053,106.90069097114528,Angke Restaurant & Ballrooms,-6.152510417924666,106.89350295878374,Chinese Restaurant,8.3,,,87.0,,331.0
58a56a5c9dc8d052745246ff,Jakarta Utara,-6.1362053,106.90069097114528,Gyu-Kaku,-6.156367953426078,106.90995501799101,BBQ Joint,8.5,,,2.0,,13.0
4cf0f5411d18a14323f64fec,Jakarta Utara,-6.1362053,106.90069097114528,Sate Afrika Asli H. Ismail Coulibaly,-6.160279596365443,106.90752578367643,African Restaurant,8.6,,,7.0,,30.0
4c6ce8d846353704aab307bc,Jakarta Utara,-6.1362053,106.90069097114528,Home Made Bakery,-6.1533904,106.90691,Bakery,8.3,,,4.0,,18.0
556d543e498e7f91d144cfab,Jakarta Utara,-6.1362053,106.90069097114528,Six Ounces Coffee,-6.161332,106.90857,Café,8.6,,,32.0,,126.0
5818a4c138fa59db18d7d7ef,Jakarta Utara,-6.1362053,106.90069097114528,Tous Les Jours,-6.156567,106.910393,Bakery,8.4,,,1.0,,8.0
54e43755498ec569ea5e7e1e,Jakarta Utara,-6.1362053,106.90069097114528,Bakmi Naga Resto Gading Walk,-6.158024259551952,106.90891953692251,Asian Restaurant,8.3,,,0.0,,8.0
57556038498e07a4d7b6218c,Jakarta Utara,-6.1362053,106.90069097114528,May Star Restaurant,-6.145325142175856,106.89258687648292,Chinese Restaurant,7.9,,,4.0,,17.0
57777a5fcd102e6385426ed0,Jakarta Utara,-6.1362053,106.90069097114528,Genki Sushi,-6.1568960183745824,106.90876694004183,Sushi Restaurant,8.2,,,4.0,,28.0
4bed2d701d5576b04c9fbeea,Jakarta Utara,-6.1362053,106.90069097114528,J.Co Donuts & Coffee,-6.145548936203591,106.89176123060376,Donut Shop,7.9,,,37.0,,33.0
500a4d19e4b02b2a7edc3c9f,Jakarta Utara,-6.1362053,106.90069097114528,"Bakso Ikan Asli ""Alie""",-6.138494500095,106.8689980333936,Chinese Restaurant,8.6,,,3.0,,27.0
4efaa03ff790731254cd2fb6,Jakarta Utara,-6.1362053,106.90069097114528,Sop Buntut Goreng Haji Sodik Sunter,-6.137263213502053,106.87401236694467,Soup Place,8.4,,,2.0,,27.0
52bd8927498eb50ba63aec66,Jakarta Utara,-6.1362053,106.90069097114528,McDonald's / McCafé,-6.140704884039328,106.88406375858084,Fast Food Restaurant,8.0,,,11.0,,133.0
56d50eea498ec88368aa9a51,Jakarta Utara,-6.1362053,106.90069097114528,Gerobak Betawi,-6.138081603062797,106.8677215225447,Betawinese Restaurant,8.7,,,1.0,,16.0
58b1937f2980db0b0fefbbcb,Jakarta Utara,-6.1362053,106.90069097114528,Green Door Kitchen,-6.149262783202249,106.90290669240453,Café,7.9,,,6.0,,22.0
58adaac8f776b0077b1dcba2,Jakarta Utara,-6.1362053,106.90069097114528,Sushi Hiro,-6.169636580948634,106.89945659275416,Sushi Restaurant,8.7,,,4.0,,28.0
4ce0cc5b69136dcbc3d8e5e6,Jakarta Utara,-6.1362053,106.90069097114528,Hawaii Restaurant,-6.137537122756596,106.87048952133982,Chinese Restaurant,8.5,,,16.0,,77.0
4b9b29bbf964a5201bf735e3,Jakarta Utara,-6.1362053,106.90069097114528,Pondok Pangandaran,-6.15308456144761,106.90897541723618,Seafood Restaurant,8.0,,,75.0,,122.0
57234ef2498e8f6308a35336,Jakarta Utara,-6.1362053,106.90069097114528,Francis フランシス アルチザン Artisan Bakery,-6.156923342916871,106.90880373168748,Bakery,8.1,,,7.0,,15.0
4b6ebbb6f964a52033c82ce3,Jakarta Utara,-6.1362053,106.90069097114528,Ippeke Komachi,-6.156399414492943,106.90912937659942,Japanese Restaurant,8.1,,,92.0,,153.0
599fa8b17564f768b7cb9a88,Jakarta Utara,-6.1362053,106.90069097114528,Samcan Epenk,-6.152221845076717,106.90937050515319,BBQ Joint,8.0,,,3.0,,14.0
4bb7ed4eb35776b04d6ac801,Jakarta Utara,-6.1362053,106.90069097114528,Ernie Mie Siram dan Jajanan Pasar,-6.161747452024625,106.90463256821067,Asian Restaurant,8.2,,,17.0,,29.0
5263cd63498e826ea124c342,Jakarta Utara,-6.1362053,106.90069097114528,"Seafood Ayu,Kelapa Gading",-6.155749356503687,106.89532567041877,Seafood Restaurant,8.0,,,14.0,,80.0
4b5c4615f964a520462929e3,Jakarta Utara,-6.1362053,106.90069097114528,Pempek Palembang & Otak-Otak 161,-6.163570404035666,106.90344582645932,Indonesian Restaurant,8.3,,,32.0,,59.0
4ce65e32f3bda14379f6aae4,Jakarta Utara,-6.1362053,106.90069097114528,RM Padang Karya Bundo,-6.150623889470533,106.87858950240036,Indonesian Restaurant,8.2,,,4.0,,17.0
4e848060dab48e6239a73dbb,Jakarta Utara,-6.1362053,106.90069097114528,Martabak Rudy Spesial Bangka,-6.154690646905993,106.91302922925175,Snack Place,8.0,,,8.0,,13.0
4d4bac901b6ea093eb6ea7d9,Jakarta Utara,-6.1362053,106.90069097114528,Bakmi Alot Kota Bunga,-6.1368485412168665,106.86617341879804,Noodle House,8.5,,,0.0,,13.0
4baf100bf964a5205fe93be3,Jakarta Utara,-6.1362053,106.90069097114528,Bakmi Aloi,-6.1692095,106.90114,Noodle House,8.4,,,12.0,,67.0
4ba60b44f964a520e72f39e3,Jakarta Utara,-6.1362053,106.90069097114528,Seafood 212 Wiro Sableng,-6.152724390393022,106.90902508584196,Seafood Restaurant,7.9,,,164.0,,294.0
500fe489e4b00e7a7bb184a1,Jakarta Utara,-6.1362053,106.90069097114528,Holycow! Steakhouse,-6.16384575460423,106.90317661068737,Steakhouse,8.1,,,65.0,,273.0
4c2c5fd6b34ad13a0533ebce,Jakarta Utara,-6.1362053,106.90069097114528,Bakso Sapi Singkawang 28,-6.150522,106.878776,Soup Place,8.0,,,7.0,,7.0
4c188115838020a11d4ce461,Jakarta Utara,-6.1362053,106.90069097114528,Bogana Milka (Kedai Pawon Sae),-6.163280044103301,106.8924519697629,Indonesian Restaurant,8.0,,,6.0,,12.0
55ea5015498ed46daf75dbb3,Jakarta Utara,-6.1362053,106.90069097114528,Burger King,-6.1689387708672,106.87751775628763,Fast Food Restaurant,8.4,,,2.0,,17.0
4f75a264e4b00446b3c0f6e7,Jakarta Utara,-6.1362053,106.90069097114528,Bakmi Ipin ( Family Restaurant),-6.11683884944037,106.91524107214735,Chinese Restaurant,7.9,,,4.0,,12.0
534cdf3e498ea1fd7e276e61,Jakarta Utara,-6.1362053,106.90069097114528,Sawung Petok,-6.148549352251687,106.91438402468928,Javanese Restaurant,7.7,,,6.0,,12.0
4cfb102734c1a0931540440e,Jakarta Utara,-6.1362053,106.90069097114528,Swikee Purwodadi Gloris,-6.172415074318705,106.89782262273613,Asian Restaurant,8.2,,,7.0,,16.0
56fbbe48498e0a3ce3226bd4,Jakarta Utara,-6.1362053,106.90069097114528,Pig Hunter,-6.138853247543029,106.86393209808782,Restaurant,8.1,,,12.0,,58.0
4f910002e4b06a3a4c18b7e0,Jakarta Timur,-6.26289085,106.88222894692834,Rumah Makan Padang 67,-6.27667,106.886673,Indonesian Restaurant,8.2,,,12.0,,10.0
